 0.8005704E-08   single scattering albedo
 0.7898630E-15   scattering cross section
 0.9866254E-07   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.3547954302E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3547954302E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3547954302E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.3547954302E-21
   0.500     0.3547543084E-21    -0.2448624250E-26     0.0000000000E+00     0.0000000000E+00    -0.2448624250E-26     0.3547543084E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3547542832E-21    -0.3710111445E-29     0.0000000000E+00     0.0000000000E+00     0.3710111445E-29     0.3547542832E-21
   1.000     0.3546308675E-21    -0.9769253450E-26     0.0000000000E+00     0.0000000000E+00    -0.9769253450E-26     0.3546308675E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3546308675E-21    -0.1485277173E-28     0.0000000000E+00     0.0000000000E+00     0.1485277173E-28     0.3546308675E-21
   1.500     0.3544250821E-21    -0.2197450938E-25     0.0000000000E+00     0.0000000000E+00    -0.2197450938E-25     0.3544250821E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3544250821E-21    -0.3341565491E-28     0.0000000000E+00     0.0000000000E+00     0.3341565491E-28     0.3544250821E-21
   2.000     0.3541372551E-21    -0.3903914848E-25     0.0000000000E+00     0.0000000000E+00    -0.3903914848E-25     0.3541372551E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3541372551E-21    -0.5939876097E-28     0.0000000000E+00     0.0000000000E+00     0.5939876097E-28     0.3541372551E-21
   2.500     0.3537673614E-21    -0.6101365785E-25     0.0000000000E+00     0.0000000000E+00    -0.6101365785E-25     0.3537673614E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3537673614E-21    -0.9271580827E-28     0.0000000000E+00     0.0000000000E+00     0.9271580827E-28     0.3537673614E-21
   3.000     0.3533157795E-21    -0.8780968508E-25     0.0000000000E+00     0.0000000000E+00    -0.8780968508E-25     0.3533157795E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3533157543E-21    -0.1334161006E-27     0.0000000000E+00     0.0000000000E+00     0.1334161006E-27     0.3533157543E-21
   3.500     0.3527827620E-21    -0.1193767431E-24     0.0000000000E+00     0.0000000000E+00    -0.1193767431E-24     0.3527827620E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3527827368E-21    -0.1814380082E-27     0.0000000000E+00     0.0000000000E+00     0.1814380082E-27     0.3527827368E-21
   4.000     0.3521686117E-21    -0.1558031842E-24     0.0000000000E+00     0.0000000000E+00    -0.1558031842E-24     0.3521686117E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3521685612E-21    -0.2367075754E-27     0.0000000000E+00     0.0000000000E+00     0.2367075754E-27     0.3521685612E-21
   4.500     0.3514734548E-21    -0.1969880344E-24     0.0000000000E+00     0.0000000000E+00    -0.1969880344E-24     0.3514734548E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3514733791E-21    -0.2992124762E-27     0.0000000000E+00     0.0000000000E+00     0.2992124762E-27     0.3514733791E-21
