 0.8851312E+00   single scattering albedo
 0.2069387E+06   scattering cross section
 0.2337944E+06   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.2101775169E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2101775169E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2101775408E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.2101775408E+01
   0.500     0.2101679802E+01    -0.1752376556E-04     0.0000000000E+00     0.0000000000E+00    -0.1752376556E-04     0.2101679802E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2101679564E+01     0.2682209015E-05     0.0000000000E+00     0.0000000000E+00    -0.2682209015E-05     0.2101679564E+01
   1.000     0.2101393223E+01    -0.6890296936E-04     0.0000000000E+00     0.0000000000E+00    -0.6890296936E-04     0.2101393223E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2101393223E+01     0.1102685928E-04     0.0000000000E+00     0.0000000000E+00    -0.1102685928E-04     0.2101393223E+01
   1.500     0.2100915909E+01    -0.1559257507E-03     0.0000000000E+00     0.0000000000E+00    -0.1559257507E-03     0.2100915909E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2100915909E+01     0.2527236938E-04     0.0000000000E+00     0.0000000000E+00    -0.2527236938E-04     0.2100915909E+01
   2.000     0.2100247622E+01    -0.2765655518E-03     0.0000000000E+00     0.0000000000E+00    -0.2765655518E-03     0.2100247622E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2100247383E+01     0.4470348358E-04     0.0000000000E+00     0.0000000000E+00    -0.4470348358E-04     0.2100247383E+01
   2.500     0.2099389076E+01    -0.4322528839E-03     0.0000000000E+00     0.0000000000E+00    -0.4322528839E-03     0.2099389076E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2099389076E+01     0.6979703903E-04     0.0000000000E+00     0.0000000000E+00    -0.6979703903E-04     0.2099389076E+01
   3.000     0.2098339558E+01    -0.6221532822E-03     0.0000000000E+00     0.0000000000E+00    -0.6221532822E-03     0.2098339558E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2098339558E+01     0.1003146172E-03     0.0000000000E+00     0.0000000000E+00    -0.1003146172E-03     0.2098339558E+01
   3.500     0.2097100735E+01    -0.8465051651E-03     0.0000000000E+00     0.0000000000E+00    -0.8465051651E-03     0.2097100735E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2097100496E+01     0.1363754272E-03     0.0000000000E+00     0.0000000000E+00    -0.1363754272E-03     0.2097100496E+01
   4.000     0.2095671892E+01    -0.1105070114E-02     0.0000000000E+00     0.0000000000E+00    -0.1105070114E-02     0.2095671892E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2095671654E+01     0.1782774925E-03     0.0000000000E+00     0.0000000000E+00    -0.1782774925E-03     0.2095671654E+01
   4.500     0.2094053745E+01    -0.1397371292E-02     0.0000000000E+00     0.0000000000E+00    -0.1397371292E-02     0.2094053745E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2094053268E+01     0.2252459526E-03     0.0000000000E+00     0.0000000000E+00    -0.2252459526E-03     0.2094053268E+01
   5.000     0.2092246532E+01    -0.1723647118E-02     0.0000000000E+00     0.0000000000E+00    -0.1723647118E-02     0.2092246532E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2092245817E+01     0.2777576447E-03     0.0000000000E+00     0.0000000000E+00    -0.2777576447E-03     0.2092245817E+01
   5.500     0.2090250969E+01    -0.2083659172E-02     0.0000000000E+00     0.0000000000E+00    -0.2083659172E-02     0.2090250969E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2090249538E+01     0.3355741501E-03     0.0000000000E+00     0.0000000000E+00    -0.3355741501E-03     0.2090249538E+01
   6.000     0.2088066578E+01    -0.2477526665E-02     0.0000000000E+00     0.0000000000E+00    -0.2477526665E-02     0.2088066578E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2088065386E+01     0.3988146782E-03     0.0000000000E+00     0.0000000000E+00    -0.3988146782E-03     0.2088065386E+01
   6.500     0.2085695744E+01    -0.2904534340E-02     0.0000000000E+00     0.0000000000E+00    -0.2904534340E-02     0.2085695744E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2085693836E+01     0.4674196243E-03     0.0000000000E+00     0.0000000000E+00    -0.4674196243E-03     0.2085693836E+01
   7.000     0.2083137989E+01    -0.3365039825E-02     0.0000000000E+00     0.0000000000E+00    -0.3365039825E-02     0.2083137989E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2083135128E+01     0.5412101746E-03     0.0000000000E+00     0.0000000000E+00    -0.5412101746E-03     0.2083135128E+01
   7.500     0.2080393553E+01    -0.3858566284E-02     0.0000000000E+00     0.0000000000E+00    -0.3858566284E-02     0.2080393553E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2080389738E+01     0.6204247475E-03     0.0000000000E+00     0.0000000000E+00    -0.6204247475E-03     0.2080389738E+01
   8.000     0.2077464104E+01    -0.4384160042E-02     0.0000000000E+00     0.0000000000E+00    -0.4384160042E-02     0.2077464104E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2077459097E+01     0.7043480873E-03     0.0000000000E+00     0.0000000000E+00    -0.7043480873E-03     0.2077459097E+01
   8.500     0.2074349880E+01    -0.4942536354E-02     0.0000000000E+00     0.0000000000E+00    -0.4942536354E-02     0.2074349880E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2074343681E+01     0.7937550545E-03     0.0000000000E+00     0.0000000000E+00    -0.7937550545E-03     0.2074343681E+01
   9.000     0.2071051121E+01    -0.5533576012E-02     0.0000000000E+00     0.0000000000E+00    -0.5533576012E-02     0.2071051121E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2071043730E+01     0.8884072304E-03     0.0000000000E+00     0.0000000000E+00    -0.8884072304E-03     0.2071043730E+01
   9.500     0.2067570210E+01    -0.6155371666E-02     0.0000000000E+00     0.0000000000E+00    -0.6155371666E-02     0.2067570210E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2067560911E+01     0.9874105453E-03     0.0000000000E+00     0.0000000000E+00    -0.9874105453E-03     0.2067560911E+01
  10.000     0.2063906670E+01    -0.6809234619E-02     0.0000000000E+00     0.0000000000E+00    -0.6809234619E-02     0.2063906670E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2063894987E+01     0.1091480255E-02     0.0000000000E+00     0.0000000000E+00    -0.1091480255E-02     0.2063894987E+01
  10.500     0.2060061932E+01    -0.7494807243E-02     0.0000000000E+00     0.0000000000E+00    -0.7494807243E-02     0.2060061932E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2060048103E+01     0.1200795174E-02     0.0000000000E+00     0.0000000000E+00    -0.1200795174E-02     0.2060048103E+01
  11.000     0.2056036949E+01    -0.8211016655E-02     0.0000000000E+00     0.0000000000E+00    -0.8211016655E-02     0.2056036949E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2056020260E+01     0.1314222813E-02     0.0000000000E+00     0.0000000000E+00    -0.1314222813E-02     0.2056020260E+01
  11.500     0.2051833153E+01    -0.8957266808E-02     0.0000000000E+00     0.0000000000E+00    -0.8957266808E-02     0.2051833153E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2051813126E+01     0.1432597637E-02     0.0000000000E+00     0.0000000000E+00    -0.1432597637E-02     0.2051813126E+01
  12.000     0.2047451019E+01    -0.9733915329E-02     0.0000000000E+00     0.0000000000E+00    -0.9733915329E-02     0.2047451019E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2047427177E+01     0.1555263996E-02     0.0000000000E+00     0.0000000000E+00    -0.1555263996E-02     0.2047427177E+01
  12.500     0.2042891741E+01    -0.1054048538E-01     0.0000000000E+00     0.0000000000E+00    -0.1054048538E-01     0.2042891741E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2042863846E+01     0.1683056355E-02     0.0000000000E+00     0.0000000000E+00    -0.1683056355E-02     0.2042863846E+01
  13.000     0.2038156748E+01    -0.1137638092E-01     0.0000000000E+00     0.0000000000E+00    -0.1137638092E-01     0.2038156748E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2038124084E+01     0.1814782619E-02     0.0000000000E+00     0.0000000000E+00    -0.1814782619E-02     0.2038124084E+01
