 0.5612719E-01   single scattering albedo
 0.2966419E+00   scattering cross section
 0.5285173E+01   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.1561789560E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1561789560E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1561789560E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.1561789560E-06
   0.500     0.1561729590E-06    -0.5925926416E-11     0.0000000000E+00     0.0000000000E+00    -0.5925926416E-11     0.1561729590E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1561729590E-06     0.2775557562E-15     0.0000000000E+00     0.0000000000E+00    -0.2775557562E-15     0.1561729590E-06
   1.000     0.1561550818E-06    -0.2371791652E-10     0.0000000000E+00     0.0000000000E+00    -0.2371791652E-10     0.1561550818E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1561550675E-06     0.8881784197E-15     0.0000000000E+00     0.0000000000E+00    -0.8881784197E-15     0.1561550675E-06
   1.500     0.1561252816E-06    -0.5332623232E-10     0.0000000000E+00     0.0000000000E+00    -0.5332623232E-10     0.1561252816E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1561252674E-06     0.1942890293E-14     0.0000000000E+00     0.0000000000E+00    -0.1942890293E-14     0.1561252674E-06
   2.000     0.1560835869E-06    -0.9481482266E-10     0.0000000000E+00     0.0000000000E+00    -0.9481482266E-10     0.1560835869E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1560835585E-06     0.3552713679E-14     0.0000000000E+00     0.0000000000E+00    -0.3552713679E-14     0.1560835585E-06
   2.500     0.1560299836E-06    -0.1481197387E-09     0.0000000000E+00     0.0000000000E+00    -0.1481197387E-09     0.1560299836E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1560299125E-06     0.5495603972E-14     0.0000000000E+00     0.0000000000E+00    -0.5495603972E-14     0.1560299125E-06
   3.000     0.1559644716E-06    -0.2132267696E-09     0.0000000000E+00     0.0000000000E+00    -0.2132267696E-09     0.1559644716E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1559643295E-06     0.7938094626E-14     0.0000000000E+00     0.0000000000E+00    -0.7938094626E-14     0.1559643295E-06
   3.500     0.1558871361E-06    -0.2901572316E-09     0.0000000000E+00     0.0000000000E+00    -0.2901572316E-09     0.1558871361E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1558868661E-06     0.1088018564E-13     0.0000000000E+00     0.0000000000E+00    -0.1088018564E-13     0.1558868661E-06
   4.000     0.1557979772E-06    -0.3788187541E-09     0.0000000000E+00     0.0000000000E+00    -0.3788187541E-09     0.1557979772E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1557975082E-06     0.1421085472E-13     0.0000000000E+00     0.0000000000E+00    -0.1421085472E-13     0.1557975082E-06
   4.500     0.1556969664E-06    -0.4792468644E-09     0.0000000000E+00     0.0000000000E+00    -0.4792468644E-09     0.1556969664E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1556962275E-06     0.1787459070E-13     0.0000000000E+00     0.0000000000E+00    -0.1787459070E-13     0.1556962275E-06
