 0.4156565E-02   single scattering albedo
 0.1773311E-02   scattering cross section
 0.4266290E+00   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.1705452168E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1705452168E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1705452307E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.1705452307E-09
   0.500     0.1705387082E-09    -0.6508682482E-14     0.0000000000E+00     0.0000000000E+00    -0.6508682482E-14     0.1705387082E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1705387220E-09     0.2710505431E-19     0.0000000000E+00     0.0000000000E+00    -0.2710505431E-19     0.1705387220E-09
   1.000     0.1705192654E-09    -0.2598615767E-13     0.0000000000E+00     0.0000000000E+00    -0.2598615767E-13     0.1705192654E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1705192931E-09     0.1355252716E-18     0.0000000000E+00     0.0000000000E+00    -0.1355252716E-18     0.1705192931E-09
   1.500     0.1704868885E-09    -0.5842548667E-13     0.0000000000E+00     0.0000000000E+00    -0.5842548667E-13     0.1704868885E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1704868885E-09     0.1626303259E-18     0.0000000000E+00     0.0000000000E+00    -0.1626303259E-18     0.1704868885E-09
   2.000     0.1704414943E-09    -0.1038544251E-12     0.0000000000E+00     0.0000000000E+00    -0.1038544251E-12     0.1704414943E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1704414804E-09     0.2439454888E-18     0.0000000000E+00     0.0000000000E+00    -0.2439454888E-18     0.1704414804E-09
   2.500     0.1703831798E-09    -0.1622382784E-12     0.0000000000E+00     0.0000000000E+00    -0.1622382784E-12     0.1703831798E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1703831243E-09     0.4336808690E-18     0.0000000000E+00     0.0000000000E+00    -0.4336808690E-18     0.1703831243E-09
   3.000     0.1703119729E-09    -0.2335770466E-12     0.0000000000E+00     0.0000000000E+00    -0.2335770466E-12     0.1703119729E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1703118341E-09     0.6234162492E-18     0.0000000000E+00     0.0000000000E+00    -0.6234162492E-18     0.1703118341E-09
   3.500     0.1702278873E-09    -0.3178290964E-12     0.0000000000E+00     0.0000000000E+00    -0.3178290964E-12     0.1702278873E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1702276098E-09     0.8131516294E-18     0.0000000000E+00     0.0000000000E+00    -0.8131516294E-18     0.1702276098E-09
   4.000     0.1701309094E-09    -0.4149527943E-12     0.0000000000E+00     0.0000000000E+00    -0.4149527943E-12     0.1701309094E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1701304098E-09     0.1111307227E-17     0.0000000000E+00     0.0000000000E+00    -0.1111307227E-17     0.1701304098E-09
   4.500     0.1700210805E-09    -0.5249412016E-12     0.0000000000E+00     0.0000000000E+00    -0.5249412016E-12     0.1700210805E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1700202895E-09     0.1328147661E-17     0.0000000000E+00     0.0000000000E+00    -0.1328147661E-17     0.1700202895E-09
   5.000     0.1698984425E-09    -0.6477457459E-12     0.0000000000E+00     0.0000000000E+00    -0.6477457459E-12     0.1698984425E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1698972213E-09     0.1653408313E-17     0.0000000000E+00     0.0000000000E+00    -0.1653408313E-17     0.1698972213E-09
   5.500     0.1697630508E-09    -0.7833733662E-12     0.0000000000E+00     0.0000000000E+00    -0.7833733662E-12     0.1697630508E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1697612606E-09     0.2005774019E-17     0.0000000000E+00     0.0000000000E+00    -0.2005774019E-17     0.1697612606E-09
   6.000     0.1696149332E-09    -0.9316922234E-12     0.0000000000E+00     0.0000000000E+00    -0.9316922234E-12     0.1696149332E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1696123797E-09     0.2331034671E-17     0.0000000000E+00     0.0000000000E+00    -0.2331034671E-17     0.1696123797E-09
   6.500     0.1694541313E-09    -0.1092778645E-11     0.0000000000E+00     0.0000000000E+00    -0.1092778645E-11     0.1694541313E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1694506202E-09     0.2737610486E-17     0.0000000000E+00     0.0000000000E+00    -0.2737610486E-17     0.1694506202E-09
   7.000     0.1692806728E-09    -0.1266486915E-11     0.0000000000E+00     0.0000000000E+00    -0.1266486915E-11     0.1692806728E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1692759544E-09     0.3198396409E-17     0.0000000000E+00     0.0000000000E+00    -0.3198396409E-17     0.1692759544E-09
   7.500     0.1690946411E-09    -0.1452782339E-11     0.0000000000E+00     0.0000000000E+00    -0.1452782339E-11     0.1690946411E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1690884099E-09     0.3604972224E-17     0.0000000000E+00     0.0000000000E+00    -0.3604972224E-17     0.1690884099E-09
   8.000     0.1688960916E-09    -0.1651664916E-11     0.0000000000E+00     0.0000000000E+00    -0.1651664916E-11     0.1688960916E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1688880147E-09     0.4092863201E-17     0.0000000000E+00     0.0000000000E+00    -0.4092863201E-17     0.1688880147E-09
   8.500     0.1686850659E-09    -0.1862995869E-11     0.0000000000E+00     0.0000000000E+00    -0.1862995869E-11     0.1686850659E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1686747825E-09     0.4634964287E-17     0.0000000000E+00     0.0000000000E+00    -0.4634964287E-17     0.1686747825E-09
   9.000     0.1684616474E-09    -0.2086747442E-11     0.0000000000E+00     0.0000000000E+00    -0.2086747442E-11     0.1684616474E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1684487272E-09     0.5095750211E-17     0.0000000000E+00     0.0000000000E+00    -0.5095750211E-17     0.1684487272E-09
   9.500     0.1682258638E-09    -0.2322864123E-11     0.0000000000E+00     0.0000000000E+00    -0.2322864123E-11     0.1682258638E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1682098349E-09     0.5719166460E-17     0.0000000000E+00     0.0000000000E+00    -0.5719166460E-17     0.1682098349E-09
  10.000     0.1679778538E-09    -0.2571283464E-11     0.0000000000E+00     0.0000000000E+00    -0.2571283464E-11     0.1679778538E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1679581751E-09     0.6342582709E-17     0.0000000000E+00     0.0000000000E+00    -0.6342582709E-17     0.1679581751E-09
  10.500     0.1677176453E-09    -0.2831873624E-11     0.0000000000E+00     0.0000000000E+00    -0.2831873624E-11     0.1677176453E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1676937339E-09     0.6993104013E-17     0.0000000000E+00     0.0000000000E+00    -0.6993104013E-17     0.1676937339E-09
  11.000     0.1674453215E-09    -0.3104627666E-11     0.0000000000E+00     0.0000000000E+00    -0.3104627666E-11     0.1674453215E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1674165390E-09     0.7643625316E-17     0.0000000000E+00     0.0000000000E+00    -0.7643625316E-17     0.1674165390E-09
  11.500     0.1671609517E-09    -0.3389406811E-11     0.0000000000E+00     0.0000000000E+00    -0.3389406811E-11     0.1671609517E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1671266042E-09     0.8375461782E-17     0.0000000000E+00     0.0000000000E+00    -0.8375461782E-17     0.1671266042E-09
  12.000     0.1668646887E-09    -0.3686134731E-11     0.0000000000E+00     0.0000000000E+00    -0.3686134731E-11     0.1668646887E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1668239713E-09     0.9107298249E-17     0.0000000000E+00     0.0000000000E+00    -0.9107298249E-17     0.1668239713E-09
  12.500     0.1665565463E-09    -0.3994714282E-11     0.0000000000E+00     0.0000000000E+00    -0.3994714282E-11     0.1665565463E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1665086541E-09     0.9812029661E-17     0.0000000000E+00     0.0000000000E+00    -0.9812029661E-17     0.1665086541E-09
  13.000     0.1662366633E-09    -0.4315083013E-11     0.0000000000E+00     0.0000000000E+00    -0.4315083013E-11     0.1662366633E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1661806664E-09     0.1062518129E-16     0.0000000000E+00     0.0000000000E+00    -0.1062518129E-16     0.1661806664E-09
  13.500     0.1659051230E-09    -0.4647102148E-11     0.0000000000E+00     0.0000000000E+00    -0.4647102148E-11     0.1659051230E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1658400223E-09     0.1135701776E-16     0.0000000000E+00     0.0000000000E+00    -0.1135701776E-16     0.1658400223E-09
  14.000     0.1655620363E-09    -0.4990730051E-11     0.0000000000E+00     0.0000000000E+00    -0.4990730051E-11     0.1655620363E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1654867909E-09     0.1219727444E-16     0.0000000000E+00     0.0000000000E+00    -0.1219727444E-16     0.1654867909E-09
  14.500     0.1652074588E-09    -0.5345834886E-11     0.0000000000E+00     0.0000000000E+00    -0.5345834886E-11     0.1652074588E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1651209586E-09     0.1306463618E-16     0.0000000000E+00     0.0000000000E+00    -0.1306463618E-16     0.1651209586E-09
  15.000     0.1648415571E-09    -0.5712270934E-11     0.0000000000E+00     0.0000000000E+00    -0.5712270934E-11     0.1648415571E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1647425668E-09     0.1395910297E-16     0.0000000000E+00     0.0000000000E+00    -0.1395910297E-16     0.1647425668E-09
  15.500     0.1644644282E-09    -0.6089961868E-11     0.0000000000E+00     0.0000000000E+00    -0.6089961868E-11     0.1644644282E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1643516434E-09     0.1482646471E-16     0.0000000000E+00     0.0000000000E+00    -0.1482646471E-16     0.1643516434E-09
  16.000     0.1640761693E-09    -0.6478761971E-11     0.0000000000E+00     0.0000000000E+00    -0.6478761971E-11     0.1640761693E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1639482300E-09     0.1569382645E-16     0.0000000000E+00     0.0000000000E+00    -0.1569382645E-16     0.1639482300E-09
  16.500     0.1636769054E-09    -0.6878594916E-11     0.0000000000E+00     0.0000000000E+00    -0.6878594916E-11     0.1636769054E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1635323127E-09     0.1664250335E-16     0.0000000000E+00     0.0000000000E+00    -0.1664250335E-16     0.1635323127E-09
  17.000     0.1632667751E-09    -0.7289349679E-11     0.0000000000E+00     0.0000000000E+00    -0.7289349679E-11     0.1632667751E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1631039748E-09     0.1767249541E-16     0.0000000000E+00     0.0000000000E+00    -0.1767249541E-16     0.1631039748E-09
  17.500     0.1628458757E-09    -0.7710859729E-11     0.0000000000E+00     0.0000000000E+00    -0.7710859729E-11     0.1628458757E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1626632162E-09     0.1864827737E-16     0.0000000000E+00     0.0000000000E+00    -0.1864827737E-16     0.1626632162E-09
  18.000     0.1624143736E-09    -0.8142986285E-11     0.0000000000E+00     0.0000000000E+00    -0.8142986285E-11     0.1624143736E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1622101203E-09     0.1959695427E-16     0.0000000000E+00     0.0000000000E+00    -0.1959695427E-16     0.1622101203E-09
  18.500     0.1619723244E-09    -0.8585646083E-11     0.0000000000E+00     0.0000000000E+00    -0.8585646083E-11     0.1619723244E-09     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1617446177E-09     0.2062694633E-16     0.0000000000E+00     0.0000000000E+00    -0.2062694633E-16     0.1617446177E-09
