length scale factor
3.2239200E-01
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
6.4925038E+00 3.2206961E-01 2.6029780E+02 6.4925038E+00
total extinction, absorption, scattering efficiencies (unpolarized incidence)
7.4164000E+00 3.9551000E-01 7.0208000E+00
theta     11          12          22          33          34          44
0.000000 1.7252000E+01 -5.3861000E-07 9.9977000E-01 9.9977000E-01 -9.2386000E-08 9.9954000E-01
0.500000 1.6885000E+01 -1.9099000E-04 9.9977000E-01 9.9977000E-01 -4.5601000E-05 9.9954000E-01
1.000000 1.5826000E+01 -6.3401000E-04 9.9976000E-01 9.9976000E-01 -2.7566000E-04 9.9953000E-01
1.500000 1.4207000E+01 -1.1593000E-03 9.9976000E-01 9.9975000E-01 -7.9692000E-04 9.9951000E-01
2.000000 1.2234000E+01 -1.8676000E-03 9.9974000E-01 9.9974000E-01 -1.5091000E-03 9.9949000E-01
2.500000 1.0135000E+01 -3.0056000E-03 9.9972000E-01 9.9971000E-01 -2.2400000E-03 9.9944000E-01
3.000000 8.1037000E+00 -4.5366000E-03 9.9969000E-01 9.9968000E-01 -3.0324000E-03 9.9938000E-01
3.500000 6.2782000E+00 -6.0973000E-03 9.9965000E-01 9.9963000E-01 -4.0282000E-03 9.9930000E-01
4.000000 4.7424000E+00 -7.5054000E-03 9.9960000E-01 9.9957000E-01 -5.0659000E-03 9.9918000E-01
4.500000 3.5269000E+00 -8.9846000E-03 9.9952000E-01 9.9947000E-01 -5.8011000E-03 9.9902000E-01
5.000000 2.6115000E+00 -1.0614000E-02 9.9942000E-01 9.9934000E-01 -6.3248000E-03 9.9880000E-01
5.500000 1.9447000E+00 -1.2047000E-02 9.9929000E-01 9.9918000E-01 -7.0099000E-03 9.9852000E-01
6.000000 1.4687000E+00 -1.3285000E-02 9.9912000E-01 9.9898000E-01 -7.6650000E-03 9.9817000E-01
6.500000 1.1331000E+00 -1.4907000E-02 9.9892000E-01 9.9873000E-01 -7.9948000E-03 9.9773000E-01
7.000000 8.9675000E-01 -1.6962000E-02 9.9866000E-01 9.9844000E-01 -8.6247000E-03 9.9720000E-01
7.500000 7.2962000E-01 -1.9064000E-02 9.9837000E-01 9.9811000E-01 -9.8972000E-03 9.9661000E-01
8.000000 6.1199000E-01 -2.1760000E-02 9.9806000E-01 9.9772000E-01 -1.0773000E-02 9.9594000E-01
8.500000 5.2967000E-01 -2.5703000E-02 9.9774000E-01 9.9729000E-01 -1.0867000E-02 9.9523000E-01
9.000000 4.7016000E-01 -3.0052000E-02 9.9745000E-01 9.9685000E-01 -1.1212000E-02 9.9452000E-01
9.500000 4.2384000E-01 -3.3928000E-02 9.9718000E-01 9.9641000E-01 -1.1845000E-02 9.9385000E-01
10.000000 3.8522000E-01 -3.7854000E-02 9.9694000E-01 9.9599000E-01 -1.1946000E-02 9.9322000E-01
10.500000 3.5121000E-01 -4.2165000E-02 9.9672000E-01 9.9556000E-01 -1.2065000E-02 9.9261000E-01
11.000000 3.2004000E-01 -4.6084000E-02 9.9650000E-01 9.9511000E-01 -1.2940000E-02 9.9197000E-01
11.500000 2.9166000E-01 -4.9267000E-02 9.9625000E-01 9.9460000E-01 -1.3676000E-02 9.9126000E-01
12.000000 2.6677000E-01 -5.2265000E-02 9.9599000E-01 9.9408000E-01 -1.3771000E-02 9.9053000E-01
12.500000 2.4499000E-01 -5.5214000E-02 9.9571000E-01 9.9357000E-01 -1.4491000E-02 9.8979000E-01
13.000000 2.2527000E-01 -5.7907000E-02 9.9539000E-01 9.9303000E-01 -1.6235000E-02 9.8899000E-01
13.500000 2.0733000E-01 -6.0627000E-02 9.9502000E-01 9.9238000E-01 -1.7887000E-02 9.8803000E-01
14.000000 1.9148000E-01 -6.3293000E-02 9.9457000E-01 9.9170000E-01 -1.9540000E-02 9.8698000E-01
14.500000 1.7771000E-01 -6.5093000E-02 9.9408000E-01 9.9107000E-01 -2.1947000E-02 9.8594000E-01
15.000000 1.6573000E-01 -6.6369000E-02 9.9361000E-01 9.9045000E-01 -2.3879000E-02 9.8492000E-01
15.500000 1.5530000E-01 -6.8878000E-02 9.9318000E-01 9.8971000E-01 -2.4212000E-02 9.8385000E-01
16.000000 1.4603000E-01 -7.3209000E-02 9.9282000E-01 9.8883000E-01 -2.4507000E-02 9.8271000E-01
16.500000 1.3769000E-01 -7.8349000E-02 9.9248000E-01 9.8789000E-01 -2.5846000E-02 9.8152000E-01
17.000000 1.3083000E-01 -8.3973000E-02 9.9215000E-01 9.8689000E-01 -2.6784000E-02 9.8030000E-01
17.500000 1.2617000E-01 -9.0463000E-02 9.9188000E-01 9.8590000E-01 -2.6986000E-02 9.7912000E-01
18.000000 1.2328000E-01 -9.7131000E-02 9.9169000E-01 9.8503000E-01 -2.7951000E-02 9.7811000E-01
18.500000 1.2079000E-01 -1.0311000E-01 9.9148000E-01 9.8427000E-01 -2.9057000E-02 9.7720000E-01
19.000000 1.1768000E-01 -1.0885000E-01 9.9116000E-01 9.8348000E-01 -2.8522000E-02 9.7616000E-01
19.500000 1.1380000E-01 -1.1482000E-01 9.9069000E-01 9.8254000E-01 -2.7231000E-02 9.7486000E-01
20.000000 1.0939000E-01 -1.2041000E-01 9.9012000E-01 9.8154000E-01 -2.6781000E-02 9.7339000E-01
20.500000 1.0488000E-01 -1.2530000E-01 9.8951000E-01 9.8058000E-01 -2.6098000E-02 9.7194000E-01
21.000000 1.0074000E-01 -1.3019000E-01 9.8897000E-01 9.7961000E-01 -2.4090000E-02 9.7056000E-01
21.500000 9.7074000E-02 -1.3537000E-01 9.8858000E-01 9.7856000E-01 -2.2238000E-02 9.6926000E-01
22.000000 9.3379000E-02 -1.4051000E-01 9.8830000E-01 9.7736000E-01 -2.1212000E-02 9.6793000E-01
22.500000 8.9078000E-02 -1.4600000E-01 9.8805000E-01 9.7591000E-01 -1.9401000E-02 9.6641000E-01
23.000000 8.4260000E-02 -1.5274000E-01 9.8779000E-01 9.7417000E-01 -1.6805000E-02 9.6458000E-01
23.500000 7.9670000E-02 -1.6051000E-01 9.8752000E-01 9.7229000E-01 -1.5594000E-02 9.6262000E-01
24.000000 7.6037000E-02 -1.6829000E-01 9.8728000E-01 9.7058000E-01 -1.6008000E-02 9.6086000E-01
24.500000 7.3494000E-02 -1.7551000E-01 9.8709000E-01 9.6917000E-01 -1.6378000E-02 9.5944000E-01
25.000000 7.1610000E-02 -1.8176000E-01 9.8689000E-01 9.6799000E-01 -1.6662000E-02 9.5824000E-01
25.500000 6.9862000E-02 -1.8626000E-01 9.8660000E-01 9.6692000E-01 -1.7354000E-02 9.5707000E-01
26.000000 6.8017000E-02 -1.8912000E-01 9.8617000E-01 9.6587000E-01 -1.7359000E-02 9.5578000E-01
26.500000 6.6111000E-02 -1.9152000E-01 9.8565000E-01 9.6481000E-01 -1.6363000E-02 9.5441000E-01
27.000000 6.4231000E-02 -1.9398000E-01 9.8516000E-01 9.6387000E-01 -1.6051000E-02 9.5320000E-01
27.500000 6.2373000E-02 -1.9611000E-01 9.8470000E-01 9.6312000E-01 -1.7281000E-02 9.5219000E-01
28.000000 6.0399000E-02 -1.9836000E-01 9.8412000E-01 9.6229000E-01 -1.9535000E-02 9.5099000E-01
28.500000 5.8146000E-02 -2.0184000E-01 9.8333000E-01 9.6102000E-01 -2.2994000E-02 9.4917000E-01
29.000000 5.5686000E-02 -2.0628000E-01 9.8243000E-01 9.5938000E-01 -2.7562000E-02 9.4693000E-01
29.500000 5.3375000E-02 -2.1019000E-01 9.8161000E-01 9.5776000E-01 -3.1346000E-02 9.4479000E-01
30.000000 5.1472000E-02 -2.1341000E-01 9.8097000E-01 9.5619000E-01 -3.3231000E-02 9.4289000E-01
30.500000 4.9847000E-02 -2.1748000E-01 9.8049000E-01 9.5432000E-01 -3.4348000E-02 9.4083000E-01
31.000000 4.8241000E-02 -2.2339000E-01 9.8008000E-01 9.5204000E-01 -3.5116000E-02 9.3840000E-01
31.500000 4.6667000E-02 -2.3053000E-01 9.7965000E-01 9.4967000E-01 -3.4899000E-02 9.3583000E-01
32.000000 4.5335000E-02 -2.3785000E-01 9.7915000E-01 9.4750000E-01 -3.4789000E-02 9.3340000E-01
32.500000 4.4380000E-02 -2.4459000E-01 9.7865000E-01 9.4564000E-01 -3.5911000E-02 9.3131000E-01
33.000000 4.3822000E-02 -2.5007000E-01 9.7828000E-01 9.4413000E-01 -3.6381000E-02 9.2973000E-01
33.500000 4.3556000E-02 -2.5420000E-01 9.7815000E-01 9.4282000E-01 -3.4591000E-02 9.2854000E-01
34.000000 4.3194000E-02 -2.5836000E-01 9.7814000E-01 9.4120000E-01 -3.2231000E-02 9.2718000E-01
34.500000 4.2291000E-02 -2.6440000E-01 9.7805000E-01 9.3876000E-01 -3.0717000E-02 9.2506000E-01
35.000000 4.0916000E-02 -2.7239000E-01 9.7782000E-01 9.3567000E-01 -2.9288000E-02 9.2227000E-01
35.500000 3.9644000E-02 -2.8020000E-01 9.7758000E-01 9.3268000E-01 -2.8199000E-02 9.1951000E-01
36.000000 3.8762000E-02 -2.8620000E-01 9.7734000E-01 9.3015000E-01 -2.8716000E-02 9.1708000E-01
36.500000 3.7866000E-02 -2.9190000E-01 9.7687000E-01 9.2730000E-01 -2.9644000E-02 9.1416000E-01
37.000000 3.6541000E-02 -2.9989000E-01 9.7595000E-01 9.2313000E-01 -2.8901000E-02 9.0966000E-01
37.500000 3.5029000E-02 -3.1024000E-01 9.7472000E-01 9.1779000E-01 -2.6764000E-02 9.0378000E-01
38.000000 3.3922000E-02 -3.2031000E-01 9.7361000E-01 9.1273000E-01 -2.4119000E-02 8.9822000E-01
38.500000 3.3437000E-02 -3.2812000E-01 9.7289000E-01 9.0912000E-01 -2.1448000E-02 8.9430000E-01
39.000000 3.3278000E-02 -3.3421000E-01 9.7236000E-01 9.0660000E-01 -2.1602000E-02 8.9159000E-01
