length scale factor
3.1165000E-02
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
6.2761909E-01 3.1133835E-02 3.6920208E+00 6.2761909E-01
total extinction, absorption, scattering efficiencies (unpolarized incidence)
4.7164000E-02 6.5522000E-03 4.0612000E-02
theta     11          12          22          33          34          44
0.000000 1.5232000E+00 0.0000000E+00 9.9992000E-01 9.9992000E-01 0.0000000E+00 9.9984000E-01
0.500000 1.5230000E+00 -3.7921000E-05 9.9992000E-01 9.9992000E-01 9.9921000E-08 9.9984000E-01
1.000000 1.5223000E+00 -1.5169000E-04 9.9992000E-01 9.9992000E-01 3.9974000E-07 9.9984000E-01
1.500000 1.5213000E+00 -3.4132000E-04 9.9992000E-01 9.9992000E-01 8.9963000E-07 9.9984000E-01
2.000000 1.5198000E+00 -6.0685000E-04 9.9992000E-01 9.9992000E-01 1.5999000E-06 9.9984000E-01
2.500000 1.5178000E+00 -9.4832000E-04 9.9992000E-01 9.9992000E-01 2.5008000E-06 9.9983000E-01
3.000000 1.5155000E+00 -1.3658000E-03 9.9992000E-01 9.9992000E-01 3.6031000E-06 9.9983000E-01
3.500000 1.5127000E+00 -1.8593000E-03 9.9992000E-01 9.9992000E-01 4.9072000E-06 9.9983000E-01
4.000000 1.5096000E+00 -2.4289000E-03 9.9992000E-01 9.9991000E-01 6.4139000E-06 9.9983000E-01
4.500000 1.5060000E+00 -3.0747000E-03 9.9992000E-01 9.9991000E-01 8.1240000E-06 9.9983000E-01
5.000000 1.5020000E+00 -3.7969000E-03 9.9992000E-01 9.9991000E-01 1.0039000E-05 9.9983000E-01
5.500000 1.4976000E+00 -4.5955000E-03 9.9992000E-01 9.9991000E-01 1.2159000E-05 9.9982000E-01
6.000000 1.4927000E+00 -5.4706000E-03 9.9992000E-01 9.9990000E-01 1.4485000E-05 9.9982000E-01
6.500000 1.4875000E+00 -6.4224000E-03 9.9992000E-01 9.9990000E-01 1.7020000E-05 9.9981000E-01
7.000000 1.4819000E+00 -7.4510000E-03 9.9992000E-01 9.9989000E-01 1.9764000E-05 9.9980000E-01
7.500000 1.4759000E+00 -8.5566000E-03 9.9992000E-01 9.9988000E-01 2.2719000E-05 9.9980000E-01
8.000000 1.4695000E+00 -9.7393000E-03 9.9992000E-01 9.9987000E-01 2.5887000E-05 9.9978000E-01
8.500000 1.4628000E+00 -1.0999000E-02 9.9991000E-01 9.9985000E-01 2.9269000E-05 9.9977000E-01
9.000000 1.4556000E+00 -1.2337000E-02 9.9991000E-01 9.9984000E-01 3.2867000E-05 9.9975000E-01
9.500000 1.4482000E+00 -1.3752000E-02 9.9991000E-01 9.9982000E-01 3.6683000E-05 9.9973000E-01
10.000000 1.4403000E+00 -1.5245000E-02 9.9991000E-01 9.9980000E-01 4.0720000E-05 9.9971000E-01
10.500000 1.4321000E+00 -1.6816000E-02 9.9991000E-01 9.9977000E-01 4.4979000E-05 9.9969000E-01
11.000000 1.4235000E+00 -1.8466000E-02 9.9991000E-01 9.9974000E-01 4.9463000E-05 9.9966000E-01
11.500000 1.4146000E+00 -2.0194000E-02 9.9991000E-01 9.9971000E-01 5.4174000E-05 9.9962000E-01
12.000000 1.4054000E+00 -2.2001000E-02 9.9991000E-01 9.9967000E-01 5.9116000E-05 9.9958000E-01
12.500000 1.3959000E+00 -2.3887000E-02 9.9991000E-01 9.9963000E-01 6.4290000E-05 9.9954000E-01
13.000000 1.3860000E+00 -2.5853000E-02 9.9991000E-01 9.9958000E-01 6.9700000E-05 9.9949000E-01
13.500000 1.3759000E+00 -2.7898000E-02 9.9991000E-01 9.9952000E-01 7.5348000E-05 9.9943000E-01
14.000000 1.3654000E+00 -3.0023000E-02 9.9991000E-01 9.9946000E-01 8.1237000E-05 9.9937000E-01
14.500000 1.3547000E+00 -3.2229000E-02 9.9991000E-01 9.9939000E-01 8.7372000E-05 9.9930000E-01
15.000000 1.3437000E+00 -3.4514000E-02 9.9991000E-01 9.9931000E-01 9.3754000E-05 9.9922000E-01
15.500000 1.3324000E+00 -3.6881000E-02 9.9991000E-01 9.9923000E-01 1.0039000E-04 9.9914000E-01
16.000000 1.3209000E+00 -3.9329000E-02 9.9991000E-01 9.9913000E-01 1.0728000E-04 9.9904000E-01
16.500000 1.3091000E+00 -4.1858000E-02 9.9991000E-01 9.9903000E-01 1.1442000E-04 9.9894000E-01
17.000000 1.2970000E+00 -4.4470000E-02 9.9991000E-01 9.9892000E-01 1.2184000E-04 9.9882000E-01
17.500000 1.2848000E+00 -4.7163000E-02 9.9990000E-01 9.9879000E-01 1.2951000E-04 9.9870000E-01
18.000000 1.2723000E+00 -4.9939000E-02 9.9990000E-01 9.9866000E-01 1.3746000E-04 9.9856000E-01
18.500000 1.2596000E+00 -5.2798000E-02 9.9990000E-01 9.9851000E-01 1.4568000E-04 9.9841000E-01
19.000000 1.2467000E+00 -5.5740000E-02 9.9990000E-01 9.9835000E-01 1.5418000E-04 9.9825000E-01
19.500000 1.2337000E+00 -5.8766000E-02 9.9990000E-01 9.9817000E-01 1.6297000E-04 9.9808000E-01
20.000000 1.2204000E+00 -6.1875000E-02 9.9990000E-01 9.9798000E-01 1.7204000E-04 9.9789000E-01
20.500000 1.2070000E+00 -6.5069000E-02 9.9990000E-01 9.9778000E-01 1.8141000E-04 9.9768000E-01
21.000000 1.1934000E+00 -6.8348000E-02 9.9990000E-01 9.9756000E-01 1.9107000E-04 9.9746000E-01
21.500000 1.1797000E+00 -7.1712000E-02 9.9990000E-01 9.9732000E-01 2.0103000E-04 9.9723000E-01
22.000000 1.1658000E+00 -7.5162000E-02 9.9990000E-01 9.9707000E-01 2.1131000E-04 9.9697000E-01
22.500000 1.1518000E+00 -7.8697000E-02 9.9990000E-01 9.9679000E-01 2.2189000E-04 9.9669000E-01
23.000000 1.1377000E+00 -8.2319000E-02 9.9989000E-01 9.9650000E-01 2.3280000E-04 9.9640000E-01
23.500000 1.1235000E+00 -8.6028000E-02 9.9989000E-01 9.9619000E-01 2.4402000E-04 9.9608000E-01
24.000000 1.1091000E+00 -8.9824000E-02 9.9989000E-01 9.9585000E-01 2.5558000E-04 9.9575000E-01
24.500000 1.0947000E+00 -9.3707000E-02 9.9989000E-01 9.9549000E-01 2.6747000E-04 9.9539000E-01
25.000000 1.0802000E+00 -9.7678000E-02 9.9989000E-01 9.9511000E-01 2.7970000E-04 9.9500000E-01
25.500000 1.0657000E+00 -1.0174000E-01 9.9989000E-01 9.9470000E-01 2.9228000E-04 9.9459000E-01
26.000000 1.0511000E+00 -1.0589000E-01 9.9989000E-01 9.9426000E-01 3.0521000E-04 9.9416000E-01
26.500000 1.0364000E+00 -1.1012000E-01 9.9989000E-01 9.9380000E-01 3.1850000E-04 9.9370000E-01
27.000000 1.0217000E+00 -1.1445000E-01 9.9988000E-01 9.9331000E-01 3.3216000E-04 9.9320000E-01
