length scale factor
8.9040000E-03
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
1.7931422E-01 8.8950960E-03 6.0556471E-01 1.7931422E-01
total extinction, absorption, scattering efficiencies (unpolarized incidence)
1.9247000E-03 9.3078000E-04 9.9390000E-04
theta     11          12          22          33          34          44
0.000000 4.0597000E-01 0.0000000E+00 9.9997000E-01 9.9997000E-01 0.0000000E+00 9.9993000E-01
0.500000 4.0595000E-01 -3.8024000E-05 9.9997000E-01 9.9997000E-01 7.6717000E-12 9.9993000E-01
1.000000 4.0590000E-01 -1.5210000E-04 9.9997000E-01 9.9997000E-01 3.0687000E-11 9.9993000E-01
1.500000 4.0582000E-01 -3.4225000E-04 9.9997000E-01 9.9997000E-01 6.9045000E-11 9.9993000E-01
2.000000 4.0570000E-01 -6.0849000E-04 9.9997000E-01 9.9997000E-01 1.2275000E-10 9.9993000E-01
2.500000 4.0555000E-01 -9.5088000E-04 9.9997000E-01 9.9997000E-01 1.9179000E-10 9.9993000E-01
3.000000 4.0536000E-01 -1.3695000E-03 9.9997000E-01 9.9997000E-01 2.7618000E-10 9.9993000E-01
3.500000 4.0515000E-01 -1.8643000E-03 9.9997000E-01 9.9997000E-01 3.7590000E-10 9.9993000E-01
4.000000 4.0490000E-01 -2.4355000E-03 9.9997000E-01 9.9996000E-01 4.9097000E-10 9.9993000E-01
4.500000 4.0461000E-01 -3.0830000E-03 9.9997000E-01 9.9996000E-01 6.2138000E-10 9.9993000E-01
5.000000 4.0430000E-01 -3.8071000E-03 9.9997000E-01 9.9996000E-01 7.6713000E-10 9.9993000E-01
5.500000 4.0395000E-01 -4.6079000E-03 9.9997000E-01 9.9996000E-01 9.2822000E-10 9.9992000E-01
6.000000 4.0357000E-01 -5.4853000E-03 9.9997000E-01 9.9995000E-01 1.1046000E-09 9.9992000E-01
6.500000 4.0315000E-01 -6.4397000E-03 9.9997000E-01 9.9995000E-01 1.2964000E-09 9.9991000E-01
